postal,rust_region
AK,North
AL,South
AR,South
AZ,South
CA,North
CO,North
CT,North
DC,North
DE,North
FL,South
GA,South
GU,North
HI,South
IA,North
ID,North
IL,North
IN,North
KS,North
KY,South
LA,South
MA,North
MD,North
ME,North
MI,North
MN,North
MO,North
MS,South
MT,North
NC,South
ND,North
NE,North
NH,North
NJ,North
NM,South
NV,North
NY,North
OH,North
OK,South
OR,North
PA,North
PR,South
RI,North
SC,South
SD,North
TN,South
TX,South
UT,North
VA,South
VI,North
VT,North
WA,North
WI,North
WV,South
WY,North
