isolate,year,state,region,country,continent,vir_cutoff,Pc14,Pc35,Pc36,Pc38,Pc39,Pc40,Pc45,Pc46,Pc48,Pc50,Pc51,Pc52,Pc53,Pc54,Pc55,Pc56,Pc57,Pc58,Pc59,Pc60,Pc61,Pc62,Pc63,Pc64,Pc67,Pc68,Pc70,Pc71,Pc91,Pc94,Pc96,MARVELOUS,H548,IAB605Xsel.,WIX4361-9,TAM-O-405,Belle,HiFi,Leggett,Stainless
92MNB-122,1992,MN,North,USA,N_America,3,4,4,NA,4,2,4,1,3,1,NA,4,1,0,1,1,3,0,4,4,4,4,1,4,1,4,1,2,3,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA
92MNB-123,1992,MN,North,USA,N_America,3,3,3,4,1,1,1,3,4,1,0,NA,1,0,2,1,4,3,1,1,3,4,1,1,1,4,1,4,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA
92MNB-124,1992,MN,North,USA,N_America,3,4,3,4,1,1,4,1,1,NA,1,4,1,0,3,1,4,0,1,1,4,2,1,1,1,4,0,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-125,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,0,1,1,1,4,1,NA,1,4,3,NA,NA,4,3,3,1,4,1,4,0,4,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-126,1992,MN,North,USA,N_America,3,4,4,4,4,1,4,1,1,1,0,NA,0,1,1,NA,4,NA,4,4,3,1,1,4,1,4,0,NA,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-127,1992,MN,North,USA,N_America,3,4,4,4,3,4,4,3,2,3,4,4,0,0,4,4,4,NA,2,4,4,4,1,3,1,4,0,4,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-128,1992,MN,North,USA,N_America,3,4,4,4,1,1,4,1,4,1,4,NA,1,NA,3,2,4,1,3,4,4,4,1,1,1,4,0,3,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-129,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,1,3,1,4,NA,1,NA,4,4,4,NA,2,4,3,3,2,4,NA,4,0,NA,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-130,1992,MN,North,USA,N_America,3,2,1,1,1,1,4,0,1,1,NA,1,1,0,3,NA,3,1,0,NA,4,4,1,1,1,4,0,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-131,1992,MN,North,USA,N_America,3,4,3,4,4,4,4,0,4,1,NA,1,1,1,3,4,2,1,1,NA,4,1,1,4,1,4,0,4,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-132,1992,MN,North,USA,N_America,3,4,1,4,4,4,3,3,3,1,1,1,4,NA,3,4,4,1,3,NA,3,1,1,3,1,4,0,4,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-133,1992,MN,North,USA,N_America,3,4,4,3,3,1,4,0,4,1,1,4,1,1,1,1,3,1,3,4,4,1,3,1,1,4,0,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
92MNB-134,1992,MN,North,USA,N_America,3,4,NA,4,4,4,3,1,1,2,NA,4,1,0,3,4,4,1,1,1,3,1,NA,4,NA,4,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA
92MNB-135,1992,MN,North,USA,N_America,3,4,4,4,1,1,4,1,4,3,0,4,1,1,4,NA,4,2,1,NA,4,1,3,NA,1,4,0,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-136,1992,MN,North,USA,N_America,3,4,4,4,2,4,1,4,4,2,4,2,1,4,2,4,3,3,2,3,2,2,3,1,NA,4,0,3,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
92MNB-137,1992,MN,North,USA,N_America,3,4,3,4,4,2,4,2,4,3,0,4,2,1,4,3,4,2,3,3,3,3,2,4,3,4,0,3,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-138,1992,MN,North,USA,N_America,3,4,1,4,4,4,4,4,4,3,1,3,2,1,3,3,3,4,2,1,4,2,2,2,1,4,0,NA,4,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
92MNB-139,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,NA,4,1,1,1,1,1,2,4,4,NA,1,NA,2,2,1,4,1,4,0,4,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-140,1992,MN,North,USA,N_America,3,4,4,2,4,4,3,1,1,NA,1,3,1,1,4,4,3,1,1,3,3,1,2,4,1,4,1,4,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA
92MNB-141,1992,MN,North,USA,N_America,3,4,3,4,4,4,4,1,4,1,0,4,3,NA,1,4,4,2,1,1,2,2,1,4,1,4,0,4,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-142,1992,MN,North,USA,N_America,3,4,3,4,4,4,3,1,4,3,1,3,1,1,3,4,4,0,3,3,4,1,1,3,2,4,0,4,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-143,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,NA,1,1,NA,3,1,1,0,4,2,1,3,1,4,NA,2,3,1,4,0,4,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-144,1992,MN,North,USA,N_America,3,4,4,2,4,1,4,1,1,2,1,4,1,1,1,1,2,1,2,3,4,2,1,4,1,4,0,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-145,1992,MN,North,USA,N_America,3,4,4,3,3,3,4,1,2,3,NA,4,4,1,2,4,4,1,3,3,NA,1,1,3,1,4,0,3,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-146,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,1,2,3,1,4,1,1,3,4,2,0,2,NA,3,NA,4,4,3,4,0,4,4,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
92MNB-147,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,1,4,1,4,4,1,NA,2,4,4,1,3,4,3,1,1,4,1,4,0,4,4,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
92MNB-148,1992,MN,North,USA,N_America,3,4,4,3,4,4,4,0,2,2,NA,4,1,0,3,4,4,1,1,NA,3,1,0,4,1,4,0,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
92MNB-149,1992,MN,North,USA,N_America,3,4,2,4,3,3,4,1,3,0,4,2,3,0,3,3,4,NA,1,3,2,3,3,4,1,4,0,3,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-150,1992,MN,North,USA,N_America,3,4,3,4,4,4,4,0,1,4,4,4,1,NA,1,4,3,1,0,NA,3,1,1,4,1,4,0,1,4,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
92MNB-151,1992,MN,North,USA,N_America,3,4,4,4,3,3,4,NA,1,4,0,3,4,1,1,3,4,NA,1,1,3,3,1,3,1,4,0,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
92MNB-152,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,1,4,2,NA,3,2,1,3,4,4,1,1,3,3,1,2,4,1,4,0,4,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-153,1992,MN,North,USA,N_America,3,4,2,4,4,4,4,2,2,1,2,4,4,0,3,4,4,2,NA,1,4,1,NA,4,1,4,0,4,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-154,1992,MN,North,USA,N_America,3,4,3,4,4,4,4,3,4,2,4,3,1,0,3,4,4,NA,1,1,4,3,2,4,1,4,0,NA,4,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
92MNB-155,1992,MN,North,USA,N_America,3,4,4,3,2,4,4,1,1,NA,0,4,1,0,3,NA,3,1,2,4,3,4,2,3,1,4,0,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
92MNB-156,1992,MN,North,USA,N_America,3,4,3,4,4,4,4,1,4,2,4,1,2,1,2,4,4,1,1,2,3,3,1,4,1,4,0,4,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-157,1992,MN,North,USA,N_America,3,4,1,3,1,1,4,2,4,2,1,1,2,1,3,1,3,2,1,NA,1,3,NA,1,1,4,0,2,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-158,1992,MN,North,USA,N_America,3,4,4,4,3,2,4,2,4,4,NA,2,2,1,3,2,NA,2,NA,2,3,3,2,2,1,4,0,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-159,1992,MN,North,USA,N_America,3,4,4,4,4,4,3,1,1,2,NA,4,1,1,3,4,4,1,3,3,2,1,1,4,1,4,0,4,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-160,1992,MN,North,USA,N_America,3,4,4,4,NA,4,4,3,3,1,4,2,4,NA,3,4,3,4,3,3,3,NA,1,NA,1,4,0,NA,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-161,1992,MN,North,USA,N_America,3,4,1,4,3,1,4,1,2,3,4,1,1,1,2,2,NA,1,4,NA,2,2,4,3,1,4,0,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-162,1992,MN,North,USA,N_America,3,4,4,4,3,4,4,1,2,3,4,2,3,1,3,4,4,NA,3,NA,4,3,2,3,1,4,0,4,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-163,1992,MN,North,USA,N_America,3,4,4,2,4,1,4,0,1,2,1,4,1,0,3,1,2,0,3,4,4,4,2,4,1,4,0,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-164,1992,MN,North,USA,N_America,3,4,3,4,4,2,4,1,2,1,4,4,NA,0,2,2,3,1,3,3,4,2,1,4,1,4,0,2,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-165,1992,MN,North,USA,N_America,3,4,4,4,3,2,3,2,1,2,4,1,2,NA,3,3,3,NA,3,4,4,2,2,1,1,4,0,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-166,1992,MN,North,USA,N_America,3,4,2,4,4,4,3,1,1,3,NA,3,3,1,1,4,2,3,3,3,3,1,1,4,1,4,0,3,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-167,1992,MN,North,USA,N_America,3,3,3,4,4,4,NA,NA,2,3,0,2,1,0,3,4,4,1,1,NA,3,1,3,4,1,4,0,4,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-168,1992,MN,North,USA,N_America,3,4,2,4,4,4,4,1,2,2,1,4,1,0,4,4,4,1,NA,1,4,1,1,4,3,4,0,4,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA
92MNB-169,1992,MN,North,USA,N_America,3,4,4,4,4,1,NA,2,4,4,NA,3,4,1,3,3,4,4,4,4,3,4,1,3,1,4,0,NA,1,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
92MNB-170,1992,MN,North,USA,N_America,3,4,4,1,2,1,4,1,2,2,4,4,1,1,2,2,2,1,2,4,3,3,1,1,NA,4,0,2,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-171,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,4,3,3,4,4,3,1,3,4,4,3,2,2,3,3,NA,3,NA,4,1,1,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-172,1992,MN,North,USA,N_America,3,4,3,2,3,2,4,NA,3,1,1,4,1,0,2,1,4,1,1,1,4,4,1,2,1,4,0,2,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-173,1992,MN,North,USA,N_America,3,4,3,4,2,3,4,4,3,3,4,4,1,1,1,3,4,1,3,1,4,4,1,3,1,4,0,3,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-174,1992,MN,North,USA,N_America,3,4,4,4,4,3,4,1,4,2,4,4,1,1,2,3,4,1,1,4,4,NA,2,4,1,4,0,3,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-175,1992,MN,North,USA,N_America,3,4,3,2,2,1,4,0,2,1,0,4,3,1,2,1,3,1,1,1,4,NA,1,1,2,4,0,NA,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-176,1992,MN,North,USA,N_America,3,4,4,4,2,4,4,4,1,2,0,4,1,1,3,4,3,3,3,4,2,3,1,1,1,4,0,4,4,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
92MNB-177,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,1,1,0,0,4,1,1,2,4,4,NA,3,3,3,1,1,4,1,4,0,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
92MNB-178,1992,MN,North,USA,N_America,3,4,3,4,4,4,4,NA,1,1,4,3,3,1,2,4,3,2,1,2,3,1,1,3,2,4,0,4,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-179,1992,MN,North,USA,N_America,3,4,4,4,1,1,3,1,4,4,0,1,4,1,1,3,3,1,3,4,3,1,1,1,1,4,1,NA,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-180,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,4,3,3,4,4,2,1,3,4,4,2,3,4,4,3,2,3,2,4,0,4,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-181,1992,MN,North,USA,N_America,3,4,4,3,4,1,4,1,4,1,0,1,1,1,2,3,3,1,NA,3,4,4,1,4,1,4,0,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-182,1992,MN,North,USA,N_America,3,4,4,4,4,3,4,3,3,3,1,4,2,1,1,2,4,1,3,4,4,4,2,1,1,4,0,4,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-183,1992,MN,North,USA,N_America,3,4,4,1,2,1,3,1,1,1,4,4,0,0,3,2,1,1,3,NA,3,3,1,2,1,4,0,NA,1,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA
92MNB-184,1992,MN,North,USA,N_America,3,4,4,4,3,3,4,1,4,3,1,3,3,1,3,3,4,3,3,1,3,4,2,3,1,4,0,3,3,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
92MNB-185,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,1,1,2,NA,4,1,1,3,4,3,1,2,NA,2,NA,2,4,1,4,0,4,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-186,1992,MN,North,USA,N_America,3,4,3,4,4,2,4,1,NA,2,1,1,2,0,3,1,4,2,2,3,4,4,1,4,1,4,0,1,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-187,1992,MN,North,USA,N_America,3,4,3,3,4,4,4,4,4,4,1,3,3,NA,4,4,3,4,NA,4,2,1,1,4,1,4,0,3,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-188,1992,MN,North,USA,N_America,3,4,3,4,4,3,4,3,1,3,2,3,2,1,3,3,3,NA,3,4,4,4,1,4,NA,4,0,3,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-189,1992,MN,North,USA,N_America,3,4,4,4,4,3,4,3,4,4,3,4,1,4,4,4,3,NA,3,3,3,4,1,4,1,4,0,3,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-190,1992,MN,North,USA,N_America,3,4,4,4,4,3,NA,2,4,2,4,2,4,NA,2,3,4,2,2,3,3,2,1,3,NA,4,0,NA,2,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
92MNB-191,1992,MN,North,USA,N_America,3,4,4,4,4,2,4,1,4,1,4,4,1,1,3,NA,4,4,3,NA,4,1,2,4,1,4,0,3,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-192,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,1,4,4,0,4,4,1,2,4,3,1,3,NA,3,1,4,4,3,4,0,4,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-193,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,1,4,4,4,4,3,0,2,4,4,1,4,3,2,3,3,4,3,4,0,NA,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-194,1992,MN,North,USA,N_America,3,4,1,4,3,2,4,NA,2,1,0,NA,1,1,2,3,3,1,2,1,2,1,1,3,1,4,0,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-195,1992,MN,North,USA,N_America,3,4,4,4,4,4,4,1,4,3,4,2,4,NA,2,4,3,3,3,3,3,3,NA,4,1,4,0,4,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-196,1992,MN,North,USA,N_America,3,4,4,NA,NA,3,4,3,4,1,NA,NA,1,1,3,3,4,3,3,NA,3,3,1,1,1,4,0,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
92MNB-197,1992,MN,North,USA,N_America,3,4,4,3,4,4,2,1,2,3,0,4,3,NA,3,4,4,1,2,4,3,1,1,4,1,4,0,4,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-198,1992,MN,North,USA,N_America,3,4,4,4,4,3,4,1,4,3,4,4,2,1,2,3,4,NA,3,3,2,3,2,4,1,4,0,NA,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
92MNB-199,1992,MN,North,USA,N_America,3,4,4,4,4,NA,1,4,3,3,1,3,NA,3,4,3,4,4,3,3,1,3,1,4,1,4,0,4,4,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
92MNB-200,1992,MN,North,USA,N_America,3,4,3,4,4,4,3,2,3,2,1,4,3,1,3,4,NA,1,4,NA,3,3,1,4,1,4,1,3,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
92MNB-201,1992,MN,North,USA,N_America,3,4,4,4,4,4,3,1,1,1,0,1,1,1,1,4,3,2,3,3,4,3,1,4,1,4,0,4,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
